  0%|                                                                                                                                          | 0/5118 [00:00<?, ?it/s]/data/pangzs/miniconda3/envs/etchat/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
You are not running the flash-attention implementation, expect numerical differences.
                                                                                                                                                                        
{'loss': 8.6604, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 7.7785, 'grad_norm': 5.065555095672607, 'learning_rate': 4.025974025974026e-06, 'epoch': 0.01}
{'loss': 7.9649, 'grad_norm': 4.708189010620117, 'learning_rate': 4.155844155844157e-06, 'epoch': 0.01}
{'loss': 7.8981, 'grad_norm': 4.360842704772949, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.01}
{'loss': 8.0941, 'grad_norm': 5.194482803344727, 'learning_rate': 4.415584415584416e-06, 'epoch': 0.01}
{'loss': 7.4953, 'grad_norm': 4.127772808074951, 'learning_rate': 4.5454545454545455e-06, 'epoch': 0.01}
{'loss': 7.9014, 'grad_norm': 4.1673665046691895, 'learning_rate': 4.675324675324676e-06, 'epoch': 0.01}
{'loss': 7.4196, 'grad_norm': 4.791725158691406, 'learning_rate': 4.805194805194806e-06, 'epoch': 0.01}
{'loss': 7.7852, 'grad_norm': 4.699241638183594, 'learning_rate': 4.935064935064935e-06, 'epoch': 0.01}
{'loss': 7.8858, 'grad_norm': 4.831120491027832, 'learning_rate': 5.064935064935065e-06, 'epoch': 0.01}
{'loss': 7.6627, 'grad_norm': 4.434662342071533, 'learning_rate': 5.194805194805194e-06, 'epoch': 0.01}
{'loss': 7.693, 'grad_norm': 4.680367946624756, 'learning_rate': 5.324675324675325e-06, 'epoch': 0.01}
{'loss': 7.2991, 'grad_norm': 5.374576091766357, 'learning_rate': 5.4545454545454545e-06, 'epoch': 0.01}
{'loss': 7.5102, 'grad_norm': 4.579158782958984, 'learning_rate': 5.584415584415585e-06, 'epoch': 0.01}
{'loss': 7.122, 'grad_norm': 4.265704154968262, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.01}
{'loss': 7.3988, 'grad_norm': 4.738135814666748, 'learning_rate': 5.844155844155844e-06, 'epoch': 0.01}
{'loss': 7.3105, 'grad_norm': 4.610605716705322, 'learning_rate': 5.9740259740259746e-06, 'epoch': 0.01}
{'loss': 7.479, 'grad_norm': 4.729107856750488, 'learning_rate': 6.103896103896104e-06, 'epoch': 0.01}
{'loss': 7.5697, 'grad_norm': 5.115235328674316, 'learning_rate': 6.233766233766234e-06, 'epoch': 0.01}
{'loss': 7.2643, 'grad_norm': 5.0395379066467285, 'learning_rate': 6.363636363636364e-06, 'epoch': 0.01}
{'loss': 7.5184, 'grad_norm': 5.042324066162109, 'learning_rate': 6.493506493506494e-06, 'epoch': 0.01}
{'loss': 7.4235, 'grad_norm': 4.320981502532959, 'learning_rate': 6.623376623376624e-06, 'epoch': 0.01}
{'loss': 7.1938, 'grad_norm': 5.080898284912109, 'learning_rate': 6.753246753246754e-06, 'epoch': 0.01}
{'loss': 7.5827, 'grad_norm': 4.831679344177246, 'learning_rate': 6.8831168831168835e-06, 'epoch': 0.01}
{'loss': 7.1307, 'grad_norm': 4.632910251617432, 'learning_rate': 7.012987012987014e-06, 'epoch': 0.01}
{'loss': 6.9439, 'grad_norm': 4.363246917724609, 'learning_rate': 7.1428571428571436e-06, 'epoch': 0.01}
{'loss': 7.1749, 'grad_norm': 5.5220208168029785, 'learning_rate': 7.272727272727273e-06, 'epoch': 0.01}
{'loss': 7.2232, 'grad_norm': 4.580503463745117, 'learning_rate': 7.402597402597404e-06, 'epoch': 0.01}
{'loss': 6.9993, 'grad_norm': 5.092045307159424, 'learning_rate': 7.532467532467533e-06, 'epoch': 0.01}
{'loss': 7.2553, 'grad_norm': 5.329423904418945, 'learning_rate': 7.662337662337663e-06, 'epoch': 0.01}
{'loss': 6.812, 'grad_norm': 5.365929126739502, 'learning_rate': 7.792207792207793e-06, 'epoch': 0.01}
{'loss': 7.0847, 'grad_norm': 5.019148826599121, 'learning_rate': 7.922077922077924e-06, 'epoch': 0.01}
{'loss': 6.9215, 'grad_norm': 4.482886791229248, 'learning_rate': 8.051948051948052e-06, 'epoch': 0.01}
{'loss': 6.7889, 'grad_norm': 4.6378583908081055, 'learning_rate': 8.181818181818183e-06, 'epoch': 0.01}
{'loss': 7.1775, 'grad_norm': 4.863961219787598, 'learning_rate': 8.311688311688313e-06, 'epoch': 0.01}
{'loss': 7.0814, 'grad_norm': 4.843558311462402, 'learning_rate': 8.441558441558442e-06, 'epoch': 0.01}
{'loss': 6.9154, 'grad_norm': 5.039827823638916, 'learning_rate': 8.571428571428571e-06, 'epoch': 0.01}
{'loss': 6.5605, 'grad_norm': 5.009603977203369, 'learning_rate': 8.701298701298701e-06, 'epoch': 0.01}
{'loss': 6.5372, 'grad_norm': 5.16972017288208, 'learning_rate': 8.831168831168832e-06, 'epoch': 0.01}
{'loss': 7.0039, 'grad_norm': 5.769519805908203, 'learning_rate': 8.96103896103896e-06, 'epoch': 0.01}
{'loss': 6.8351, 'grad_norm': 5.368532180786133, 'learning_rate': 9.090909090909091e-06, 'epoch': 0.01}
{'loss': 6.7273, 'grad_norm': 5.073713302612305, 'learning_rate': 9.220779220779221e-06, 'epoch': 0.01}
{'loss': 6.5462, 'grad_norm': 5.115950107574463, 'learning_rate': 9.350649350649352e-06, 'epoch': 0.02}
{'loss': 6.6192, 'grad_norm': 5.730632305145264, 'learning_rate': 9.48051948051948e-06, 'epoch': 0.02}
{'loss': 6.5286, 'grad_norm': 5.385350704193115, 'learning_rate': 9.610389610389611e-06, 'epoch': 0.02}
{'loss': 6.8031, 'grad_norm': 5.4913506507873535, 'learning_rate': 9.740259740259742e-06, 'epoch': 0.02}
{'loss': 6.6829, 'grad_norm': 5.164949417114258, 'learning_rate': 9.87012987012987e-06, 'epoch': 0.02}
{'loss': 6.6558, 'grad_norm': 5.673061847686768, 'learning_rate': 1e-05, 'epoch': 0.02}
{'loss': 6.7808, 'grad_norm': 4.91867208480835, 'learning_rate': 1.012987012987013e-05, 'epoch': 0.02}
{'loss': 6.5905, 'grad_norm': 6.062409400939941, 'learning_rate': 1.025974025974026e-05, 'epoch': 0.02}
{'loss': 6.7616, 'grad_norm': 5.277176380157471, 'learning_rate': 1.0389610389610389e-05, 'epoch': 0.02}
{'loss': 6.5649, 'grad_norm': 5.451107501983643, 'learning_rate': 1.0519480519480521e-05, 'epoch': 0.02}
{'loss': 6.7055, 'grad_norm': 5.573521614074707, 'learning_rate': 1.064935064935065e-05, 'epoch': 0.02}
{'loss': 6.4002, 'grad_norm': 5.386122226715088, 'learning_rate': 1.077922077922078e-05, 'epoch': 0.02}
{'loss': 6.4869, 'grad_norm': 5.702794075012207, 'learning_rate': 1.0909090909090909e-05, 'epoch': 0.02}
{'loss': 6.4268, 'grad_norm': 5.71507453918457, 'learning_rate': 1.1038961038961041e-05, 'epoch': 0.02}
{'loss': 6.2211, 'grad_norm': 4.675947666168213, 'learning_rate': 1.116883116883117e-05, 'epoch': 0.02}
{'loss': 6.3815, 'grad_norm': 5.023193359375, 'learning_rate': 1.12987012987013e-05, 'epoch': 0.02}
{'loss': 6.1695, 'grad_norm': 4.755730628967285, 'learning_rate': 1.1428571428571429e-05, 'epoch': 0.02}
{'loss': 6.2594, 'grad_norm': 5.19064474105835, 'learning_rate': 1.155844155844156e-05, 'epoch': 0.02}
{'loss': 6.0036, 'grad_norm': 5.3941264152526855, 'learning_rate': 1.1688311688311688e-05, 'epoch': 0.02}
{'loss': 6.2307, 'grad_norm': 4.517330646514893, 'learning_rate': 1.181818181818182e-05, 'epoch': 0.02}
{'loss': 6.2512, 'grad_norm': 4.661628246307373, 'learning_rate': 1.1948051948051949e-05, 'epoch': 0.02}
{'loss': 5.9667, 'grad_norm': 5.24782657623291, 'learning_rate': 1.207792207792208e-05, 'epoch': 0.02}
{'loss': 6.122, 'grad_norm': 4.988248825073242, 'learning_rate': 1.2207792207792208e-05, 'epoch': 0.02}
{'loss': 6.2063, 'grad_norm': 4.451891899108887, 'learning_rate': 1.2337662337662339e-05, 'epoch': 0.02}
{'loss': 6.3491, 'grad_norm': 5.199703216552734, 'learning_rate': 1.2467532467532468e-05, 'epoch': 0.02}
{'loss': 6.0461, 'grad_norm': 4.3792595863342285, 'learning_rate': 1.25974025974026e-05, 'epoch': 0.02}
{'loss': 6.1924, 'grad_norm': 8.39306354522705, 'learning_rate': 1.2727272727272728e-05, 'epoch': 0.02}
{'loss': 6.1438, 'grad_norm': 3.403074026107788, 'learning_rate': 1.2857142857142859e-05, 'epoch': 0.02}
{'loss': 6.0874, 'grad_norm': 3.5058085918426514, 'learning_rate': 1.2987012987012988e-05, 'epoch': 0.02}
{'loss': 6.259, 'grad_norm': 4.768670558929443, 'learning_rate': 1.311688311688312e-05, 'epoch': 0.02}
{'loss': 6.1609, 'grad_norm': 4.221072673797607, 'learning_rate': 1.3246753246753249e-05, 'epoch': 0.02}
{'loss': 6.1154, 'grad_norm': 3.6195285320281982, 'learning_rate': 1.3376623376623377e-05, 'epoch': 0.02}
{'loss': 6.2371, 'grad_norm': 4.589733600616455, 'learning_rate': 1.3506493506493508e-05, 'epoch': 0.02}
{'loss': 6.3794, 'grad_norm': 4.267944812774658, 'learning_rate': 1.3636363636363637e-05, 'epoch': 0.02}
{'loss': 6.077, 'grad_norm': 2.9291141033172607, 'learning_rate': 1.3766233766233767e-05, 'epoch': 0.02}
{'loss': 6.056, 'grad_norm': 3.2616894245147705, 'learning_rate': 1.3896103896103896e-05, 'epoch': 0.02}
{'loss': 6.3044, 'grad_norm': 4.675259113311768, 'learning_rate': 1.4025974025974028e-05, 'epoch': 0.02}
{'loss': 5.8604, 'grad_norm': 2.866758108139038, 'learning_rate': 1.4155844155844157e-05, 'epoch': 0.02}
{'loss': 6.0269, 'grad_norm': 2.6126010417938232, 'learning_rate': 1.4285714285714287e-05, 'epoch': 0.02}
{'loss': 6.1154, 'grad_norm': 3.3717997074127197, 'learning_rate': 1.4415584415584416e-05, 'epoch': 0.02}
{'loss': 6.2356, 'grad_norm': 3.7905361652374268, 'learning_rate': 1.4545454545454546e-05, 'epoch': 0.02}
{'loss': 6.4304, 'grad_norm': 3.4214494228363037, 'learning_rate': 1.4675324675324675e-05, 'epoch': 0.02}
{'loss': 5.7291, 'grad_norm': 3.584536552429199, 'learning_rate': 1.4805194805194807e-05, 'epoch': 0.02}
{'loss': 6.1274, 'grad_norm': 4.057364463806152, 'learning_rate': 1.4935064935064936e-05, 'epoch': 0.02}
{'loss': 6.2035, 'grad_norm': 2.8605918884277344, 'learning_rate': 1.5064935064935066e-05, 'epoch': 0.02}
{'loss': 6.0732, 'grad_norm': 2.643817186355591, 'learning_rate': 1.5194805194805195e-05, 'epoch': 0.02}
{'loss': 6.3066, 'grad_norm': 4.508790493011475, 'learning_rate': 1.5324675324675326e-05, 'epoch': 0.02}
{'loss': 6.0104, 'grad_norm': 3.5714833736419678, 'learning_rate': 1.5454545454545454e-05, 'epoch': 0.02}
{'loss': 6.4147, 'grad_norm': 4.458840847015381, 'learning_rate': 1.5584415584415587e-05, 'epoch': 0.02}
{'loss': 5.8553, 'grad_norm': 2.910660982131958, 'learning_rate': 1.5714285714285715e-05, 'epoch': 0.02}
{'loss': 5.9141, 'grad_norm': 2.410554885864258, 'learning_rate': 1.5844155844155847e-05, 'epoch': 0.02}
{'loss': 6.1807, 'grad_norm': 2.196958065032959, 'learning_rate': 1.5974025974025976e-05, 'epoch': 0.03}
{'loss': 5.811, 'grad_norm': 2.6506428718566895, 'learning_rate': 1.6103896103896105e-05, 'epoch': 0.03}
{'loss': 6.1217, 'grad_norm': 3.378145933151245, 'learning_rate': 1.6233766233766234e-05, 'epoch': 0.03}
{'loss': 6.1065, 'grad_norm': 2.9872045516967773, 'learning_rate': 1.6363636363636366e-05, 'epoch': 0.03}
{'loss': 5.6708, 'grad_norm': 2.2357211112976074, 'learning_rate': 1.6493506493506495e-05, 'epoch': 0.03}
{'loss': 6.1911, 'grad_norm': 4.577321529388428, 'learning_rate': 1.6623376623376627e-05, 'epoch': 0.03}
{'loss': 6.2136, 'grad_norm': 2.3271427154541016, 'learning_rate': 1.6753246753246756e-05, 'epoch': 0.03}
{'loss': 5.9094, 'grad_norm': 2.7219715118408203, 'learning_rate': 1.6883116883116884e-05, 'epoch': 0.03}
{'loss': 6.0174, 'grad_norm': 3.9480865001678467, 'learning_rate': 1.7012987012987013e-05, 'epoch': 0.03}
{'loss': 6.1848, 'grad_norm': 6.651584148406982, 'learning_rate': 1.7142857142857142e-05, 'epoch': 0.03}
{'loss': 5.7541, 'grad_norm': 3.8919596672058105, 'learning_rate': 1.7272727272727274e-05, 'epoch': 0.03}
{'loss': 6.3435, 'grad_norm': 3.6208856105804443, 'learning_rate': 1.7402597402597403e-05, 'epoch': 0.03}
{'loss': 5.9958, 'grad_norm': 2.4914233684539795, 'learning_rate': 1.7532467532467535e-05, 'epoch': 0.03}
{'loss': 5.8931, 'grad_norm': 4.506977081298828, 'learning_rate': 1.7662337662337664e-05, 'epoch': 0.03}
{'loss': 5.8174, 'grad_norm': 3.996772527694702, 'learning_rate': 1.7792207792207792e-05, 'epoch': 0.03}
{'loss': 6.139, 'grad_norm': 2.759549140930176, 'learning_rate': 1.792207792207792e-05, 'epoch': 0.03}
{'loss': 5.8863, 'grad_norm': 2.9905450344085693, 'learning_rate': 1.8051948051948053e-05, 'epoch': 0.03}
{'loss': 6.2044, 'grad_norm': 2.4783685207366943, 'learning_rate': 1.8181818181818182e-05, 'epoch': 0.03}
{'loss': 6.1742, 'grad_norm': 5.13308572769165, 'learning_rate': 1.8311688311688314e-05, 'epoch': 0.03}
{'loss': 5.8711, 'grad_norm': 3.198012351989746, 'learning_rate': 1.8441558441558443e-05, 'epoch': 0.03}
{'loss': 5.8513, 'grad_norm': 2.8234832286834717, 'learning_rate': 1.8571428571428575e-05, 'epoch': 0.03}
{'loss': 6.1653, 'grad_norm': 3.386162519454956, 'learning_rate': 1.8701298701298704e-05, 'epoch': 0.03}
{'loss': 5.645, 'grad_norm': 4.438990116119385, 'learning_rate': 1.8831168831168833e-05, 'epoch': 0.03}
{'loss': 5.7127, 'grad_norm': 2.9962244033813477, 'learning_rate': 1.896103896103896e-05, 'epoch': 0.03}
{'loss': 6.0518, 'grad_norm': 2.209577798843384, 'learning_rate': 1.9090909090909094e-05, 'epoch': 0.03}
{'loss': 6.2531, 'grad_norm': 2.525968551635742, 'learning_rate': 1.9220779220779222e-05, 'epoch': 0.03}
{'loss': 6.16, 'grad_norm': 2.546414613723755, 'learning_rate': 1.9350649350649354e-05, 'epoch': 0.03}
{'loss': 6.1911, 'grad_norm': 4.825311183929443, 'learning_rate': 1.9480519480519483e-05, 'epoch': 0.03}
{'loss': 5.7785, 'grad_norm': 2.3306007385253906, 'learning_rate': 1.9610389610389612e-05, 'epoch': 0.03}
{'loss': 6.1578, 'grad_norm': 2.79355788230896, 'learning_rate': 1.974025974025974e-05, 'epoch': 0.03}
{'loss': 6.0027, 'grad_norm': 4.217466354370117, 'learning_rate': 1.9870129870129873e-05, 'epoch': 0.03}
{'loss': 5.736, 'grad_norm': 2.4691812992095947, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 5.8023, 'grad_norm': 2.529163360595703, 'learning_rate': 1.9999997997344768e-05, 'epoch': 0.03}
{'loss': 6.0032, 'grad_norm': 2.1931962966918945, 'learning_rate': 1.9999991989379874e-05, 'epoch': 0.03}
{'loss': 5.7954, 'grad_norm': 2.9185850620269775, 'learning_rate': 1.9999981976107724e-05, 'epoch': 0.03}
{'loss': 5.9638, 'grad_norm': 3.3125946521759033, 'learning_rate': 1.999996795753233e-05, 'epoch': 0.03}
{'loss': 5.8399, 'grad_norm': 2.961941957473755, 'learning_rate': 1.9999949933659307e-05, 'epoch': 0.03}
{'loss': 6.2337, 'grad_norm': 2.4501092433929443, 'learning_rate': 1.999992790449587e-05, 'epoch': 0.03}
{'loss': 6.0452, 'grad_norm': 2.379014730453491, 'learning_rate': 1.9999901870050848e-05, 'epoch': 0.03}
{'loss': 6.1192, 'grad_norm': 2.82656192779541, 'learning_rate': 1.9999871830334667e-05, 'epoch': 0.03}
{'loss': 6.0462, 'grad_norm': 3.0462377071380615, 'learning_rate': 1.9999837785359356e-05, 'epoch': 0.03}
{'loss': 6.2914, 'grad_norm': 4.649588108062744, 'learning_rate': 1.999979973513855e-05, 'epoch': 0.03}
{'loss': 5.6055, 'grad_norm': 2.886181116104126, 'learning_rate': 1.9999757679687498e-05, 'epoch': 0.03}
{'loss': 6.0271, 'grad_norm': 3.191511869430542, 'learning_rate': 1.9999711619023036e-05, 'epoch': 0.03}
{'loss': 6.0086, 'grad_norm': 4.469980716705322, 'learning_rate': 1.9999661553163615e-05, 'epoch': 0.03}
{'loss': 5.9374, 'grad_norm': 2.7358009815216064, 'learning_rate': 1.999960748212929e-05, 'epoch': 0.03}
{'loss': 6.1221, 'grad_norm': 2.322756767272949, 'learning_rate': 1.9999549405941714e-05, 'epoch': 0.03}
{'loss': 6.1775, 'grad_norm': 4.565404891967773, 'learning_rate': 1.9999487324624152e-05, 'epoch': 0.03}
{'loss': 6.2752, 'grad_norm': 4.397437572479248, 'learning_rate': 1.9999421238201465e-05, 'epoch': 0.03}
{'loss': 5.8492, 'grad_norm': 3.8002679347991943, 'learning_rate': 1.9999351146700133e-05, 'epoch': 0.03}
{'loss': 6.0536, 'grad_norm': 2.8900318145751953, 'learning_rate': 1.9999277050148217e-05, 'epoch': 0.03}
{'loss': 5.8875, 'grad_norm': 3.535376787185669, 'learning_rate': 1.9999198948575404e-05, 'epoch': 0.03}
{'loss': 6.0547, 'grad_norm': 4.799731254577637, 'learning_rate': 1.9999116842012973e-05, 'epoch': 0.04}
{'loss': 6.0396, 'grad_norm': 4.138541221618652, 'learning_rate': 1.999903073049381e-05, 'epoch': 0.04}
{'loss': 6.0938, 'grad_norm': 3.373988628387451, 'learning_rate': 1.9998940614052404e-05, 'epoch': 0.04}
{'loss': 5.6226, 'grad_norm': 2.1485583782196045, 'learning_rate': 1.999884649272485e-05, 'epoch': 0.04}
{'loss': 5.9893, 'grad_norm': 2.655738115310669, 'learning_rate': 1.999874836654885e-05, 'epoch': 0.04}
{'loss': 6.0772, 'grad_norm': 4.198607921600342, 'learning_rate': 1.9998646235563702e-05, 'epoch': 0.04}
{'loss': 6.0272, 'grad_norm': 3.451606512069702, 'learning_rate': 1.9998540099810318e-05, 'epoch': 0.04}
{'loss': 5.6992, 'grad_norm': 2.423046112060547, 'learning_rate': 1.9998429959331204e-05, 'epoch': 0.04}
{'loss': 5.7179, 'grad_norm': 2.224851608276367, 'learning_rate': 1.9998315814170473e-05, 'epoch': 0.04}
{'loss': 5.6751, 'grad_norm': 2.412823438644409, 'learning_rate': 1.999819766437385e-05, 'epoch': 0.04}
{'loss': 6.0605, 'grad_norm': 2.5525929927825928, 'learning_rate': 1.999807550998865e-05, 'epoch': 0.04}
{'loss': 5.8857, 'grad_norm': 2.359473466873169, 'learning_rate': 1.9997949351063807e-05, 'epoch': 0.04}
{'loss': 6.1171, 'grad_norm': 2.7304840087890625, 'learning_rate': 1.999781918764985e-05, 'epoch': 0.04}
{'loss': 5.8095, 'grad_norm': 3.1451621055603027, 'learning_rate': 1.9997685019798913e-05, 'epoch': 0.04}
{'loss': 5.341, 'grad_norm': 2.2100279331207275, 'learning_rate': 1.9997546847564727e-05, 'epoch': 0.04}
{'loss': 5.6054, 'grad_norm': 2.292733669281006, 'learning_rate': 1.9997404671002645e-05, 'epoch': 0.04}
{'loss': 5.9296, 'grad_norm': 3.783116102218628, 'learning_rate': 1.999725849016961e-05, 'epoch': 0.04}
{'loss': 5.6929, 'grad_norm': 3.3220536708831787, 'learning_rate': 1.9997108305124165e-05, 'epoch': 0.04}
{'loss': 6.1886, 'grad_norm': 2.243398904800415, 'learning_rate': 1.9996954115926477e-05, 'epoch': 0.04}
{'loss': 5.9367, 'grad_norm': 2.4068920612335205, 'learning_rate': 1.9996795922638293e-05, 'epoch': 0.04}
{'loss': 5.757, 'grad_norm': 3.3576483726501465, 'learning_rate': 1.9996633725322977e-05, 'epoch': 0.04}
{'loss': 5.8176, 'grad_norm': 2.970979928970337, 'learning_rate': 1.9996467524045492e-05, 'epoch': 0.04}
{'loss': 5.952, 'grad_norm': 3.6885077953338623, 'learning_rate': 1.9996297318872413e-05, 'epoch': 0.04}
{'loss': 6.0009, 'grad_norm': 4.1746344566345215, 'learning_rate': 1.999612310987191e-05, 'epoch': 0.04}
{'loss': 6.1511, 'grad_norm': 3.5766420364379883, 'learning_rate': 1.9995944897113753e-05, 'epoch': 0.04}
{'loss': 5.82, 'grad_norm': 3.363304376602173, 'learning_rate': 1.9995762680669326e-05, 'epoch': 0.04}
{'loss': 5.4779, 'grad_norm': 3.2305550575256348, 'learning_rate': 1.9995576460611617e-05, 'epoch': 0.04}
{'loss': 5.8948, 'grad_norm': 2.353433609008789, 'learning_rate': 1.9995386237015208e-05, 'epoch': 0.04}
{'loss': 5.8181, 'grad_norm': 2.238893985748291, 'learning_rate': 1.999519200995629e-05, 'epoch': 0.04}
{'loss': 5.5539, 'grad_norm': 2.681190252304077, 'learning_rate': 1.9994993779512656e-05, 'epoch': 0.04}
{'loss': 5.6212, 'grad_norm': 2.3542120456695557, 'learning_rate': 1.9994791545763707e-05, 'epoch': 0.04}
{'loss': 5.6269, 'grad_norm': 2.2692782878875732, 'learning_rate': 1.9994585308790437e-05, 'epoch': 0.04}
{'loss': 6.0039, 'grad_norm': 2.1623027324676514, 'learning_rate': 1.999437506867546e-05, 'epoch': 0.04}
{'loss': 6.3747, 'grad_norm': 2.966888427734375, 'learning_rate': 1.9994160825502975e-05, 'epoch': 0.04}
{'loss': 5.8719, 'grad_norm': 2.357201099395752, 'learning_rate': 1.99939425793588e-05, 'epoch': 0.04}
{'loss': 5.8494, 'grad_norm': 2.2577245235443115, 'learning_rate': 1.9993720330330343e-05, 'epoch': 0.04}
{'loss': 5.9099, 'grad_norm': 2.916208028793335, 'learning_rate': 1.9993494078506626e-05, 'epoch': 0.04}
{'loss': 6.2254, 'grad_norm': 2.2449445724487305, 'learning_rate': 1.9993263823978268e-05, 'epoch': 0.04}
{'loss': 5.8356, 'grad_norm': 2.1268374919891357, 'learning_rate': 1.9993029566837493e-05, 'epoch': 0.04}
{'loss': 5.9822, 'grad_norm': 2.8383164405822754, 'learning_rate': 1.9992791307178133e-05, 'epoch': 0.04}
{'loss': 6.2715, 'grad_norm': 2.567335367202759, 'learning_rate': 1.9992549045095607e-05, 'epoch': 0.04}
{'loss': 5.8451, 'grad_norm': 2.645125150680542, 'learning_rate': 1.999230278068696e-05, 'epoch': 0.04}
{'loss': 5.909, 'grad_norm': 2.6017282009124756, 'learning_rate': 1.9992052514050824e-05, 'epoch': 0.04}
